Arāju iela;28
Arāju iela;11
Trīsciema 2.līnija;9
Arāju iela;26
Arāju iela;24
Rudzu iela;7A
Rudzu iela;12
Rudzu iela;14A
Trīsciema 4.līnija;10A
Vadu iela;1
Arāju iela;12A
Apļa iela;29
Trīsciema 4.līnija;1
Arāju iela;10
Trīsciema 8.līnija;18A
Trīsciema 8.līnija;20
Trīsciema 6.līnija;6
Vārpu iela;7
Trīsciema 8.līnija;19A
Trīsciema 4.līnija;10
Trīsciema 9.līnija;37
Trīsciema 4.līnija;14
Rudzu iela;28
Trīsciema 10.līnija;5
Rudzu iela;26
Trīsciema 4.līnija;8
Vadu iela;7
Trīsciema iela;24
Trīsciema iela;22
Trīsciema iela;25
Trīsciema iela;23
Trīsciema iela;21
Trīsciema iela;17
Trīsciema iela;15
Trīsciema 7.līnija;19
Trīsciema 7.līnija;17
Trīsciema 7.līnija;15
Trīsciema 7.līnija;11
Trīsciema 7.līnija;9A
Trīsciema 7.līnija;9
Trīsciema 7.līnija;7A
Trīsciema 7.līnija;7
Trīsciema 7.līnija;5
Trīsciema 7.līnija;3
Trīsciema 7.līnija;1
Trīsciema 7.līnija;14
Trīsciema 7.līnija;12
Trīsciema 7.līnija;10
Trīsciema 7.līnija;8
Trīsciema 7.līnija;8A
Trīsciema 7.līnija;6
Trīsciema 7.līnija;4A
Trīsciema 7.līnija;4
Trīsciema 7.līnija;2A
Trīsciema 7.līnija;2
Trīsciema 6.līnija;9A
Trīsciema 6.līnija;9
Trīsciema 6.līnija;7A
Trīsciema 6.līnija;7
Trīsciema 6.līnija;5A
Trīsciema 6.līnija;5
Trīsciema 6.līnija;3A
Trīsciema 6.līnija;3
Trīsciema 6.līnija;1A
Trīsciema 6.līnija;1
Trīsciema 5.līnija;8A
Trīsciema 5.līnija;8
Trīsciema 5.līnija;6
Trīsciema 5.līnija;4
Trīsciema 5.līnija;2
Arāju iela;12
Trīsciema 4.līnija;12
Trīsciema iela;8
Vārpu iela;4
Trīsciema iela;19
Trīsciema iela;14A
Trīsciema iela;12
Trīsciema iela;14
Trīsciema 10.līnija;19A
Trīsciema 10.līnija;24
Trīsciema 10.līnija;22
Trīsciema 10.līnija;26
Trīsciema 10.līnija;14
Trīsciema 10.līnija;16
Trīsciema 10.līnija;18
Trīsciema 10.līnija;20
Trīsciema 10.līnija;12
Trīsciema 10.līnija;8
Trīsciema 10.līnija;10
Trīsciema 10.līnija;4
Trīsciema 10.līnija;6
Trīsciema 10.līnija;2
Trīsciema 8.līnija;29
Rudzu iela;9A
Trīsciema 4.līnija;15
Trīsciema 4.līnija;6
Atzaru iela;7
Atzaru iela;5
Atzaru iela;1
Trīsciema 6.līnija;4
Rudzu iela;24
Atzaru iela;9
Trīsciema 6.līnija;14
Rudzu iela;32
Trīsciema 9.līnija;23
Trīsciema 9.līnija;25
Trīsciema 9.līnija;27
Trīsciema 9.līnija;24
Trīsciema 9.līnija;26
Trīsciema 9.līnija;28
Trīsciema 9.līnija;30
Trīsciema 9.līnija;29
Trīsciema 9.līnija;31
Trīsciema 9.līnija;35
Trīsciema 9.līnija;33
Trīsciema 9.līnija;19
Trīsciema 9.līnija;13
Trīsciema 9.līnija;15
Trīsciema 9.līnija;17
Trīsciema 9.līnija;21
Trīsciema 9.līnija;20
Trīsciema 9.līnija;22
Trīsciema 9.līnija;18
Trīsciema 9.līnija;16
Trīsciema 9.līnija;14
Trīsciema 9.līnija;12
Trīsciema 8.līnija;27
Trīsciema 8.līnija;25
Trīsciema 8.līnija;21
Trīsciema 8.līnija;18
Trīsciema 8.līnija;16
Trīsciema 8.līnija;10
Trīsciema 8.līnija;12
Trīsciema 8.līnija;14
Trīsciema 8.līnija;19
Trīsciema 8.līnija;17
Trīsciema 8.līnija;15
Trīsciema 8.līnija;11
Vārpu iela;14A
Trīsciema 9.līnija;2
Trīsciema 8.līnija;23
Trīsciema 5.līnija;7
Trīsciema 5.līnija;5
Trīsciema 5.līnija;3
Trīsciema 5.līnija;1
Trīsciema 6.līnija;16
Trīsciema 6.līnija;12
Trīsciema 6.līnija;10
Rudzu iela;22B
Trīsciema 6.līnija;18
Trīsciema 4.līnija;9
Rudzu iela;17
Arāju iela;18A
Arāju iela;15A
Rudzu iela;22
Arāju iela;8
Arāju iela;6
Vārpu iela;2
Vārpu iela;6
Vārpu iela;8
Rudzu iela;3
Rudzu iela;9
Rudzu iela;18
Arāju iela;19
Arāju iela;14A
Arāju iela;22
Arāju iela;15
Arāju iela;16
Arāju iela;18
Arāju iela;14
Rudzu iela;14
Rudzu iela;16
